image_name,n_participants_target,target_crr,target_hr,target_far,target_hit,target_miss,target_fa,target_cr,n_participants_filler,filler_hit,filler_miss,filler_fa,filler_cr
0104.jpg,34,0.3235294117647059,0.5882352941176471,0.2647058823529412,20,14,9,25,104,13,3,19,85
0105.jpg,45,0.5111111111111111,0.8222222222222222,0.3111111111111111,37,8,14,31,96,11,1,31,65
0106.jpg,45,0.6000000000000001,0.8666666666666667,0.26666666666666666,39,6,12,33,89,8,1,27,62
0107.jpg,38,0.7894736842105263,0.868421052631579,0.07894736842105263,33,5,3,35,95,8,1,6,89
0108.jpg,35,0.3142857142857143,0.6857142857142857,0.37142857142857144,24,11,13,22,106,10,2,21,85
0109.jpg,43,0.6976744186046512,0.8372093023255814,0.13953488372093023,36,7,6,37,97,9,1,5,92
0110.jpg,43,0.627906976744186,0.8372093023255814,0.20930232558139536,36,7,9,34,94,12,3,19,75
0111.jpg,34,0.38235294117647056,0.7941176470588235,0.4117647058823529,27,7,14,20,81,10,3,16,65
0112.jpg,45,0.7333333333333334,0.8666666666666667,0.13333333333333333,39,6,6,39,111,8,0,11,100
0113.jpg,48,0.75,0.875,0.125,42,6,6,42,99,7,3,16,83
0114.jpg,44,0.5227272727272727,0.5909090909090909,0.06818181818181818,26,18,3,41,92,5,4,12,80
0115.jpg,46,0.6521739130434783,0.7608695652173914,0.10869565217391304,35,11,5,41,78,5,3,10,68
0116.jpg,49,0.653061224489796,0.8163265306122449,0.16326530612244897,40,9,8,41,93,10,5,17,76
0117.jpg,40,0.575,0.75,0.175,30,10,7,33,102,10,1,18,84
0118.jpg,38,0.5526315789473685,0.7631578947368421,0.21052631578947367,29,9,8,30,114,10,0,17,97
0119.jpg,42,0.7380952380952381,0.8809523809523809,0.14285714285714285,37,5,6,36,111,14,2,37,74
0120.jpg,41,0.5121951219512195,0.6585365853658537,0.14634146341463414,27,14,6,35,81,6,3,15,66
0121.jpg,27,0.7407407407407407,0.7777777777777778,0.037037037037037035,21,6,1,26,109,14,7,13,96
0122.jpg,52,0.8269230769230769,0.8461538461538461,0.019230769230769232,44,8,1,51,90,9,5,10,80
0123.jpg,42,0.5714285714285714,0.7619047619047619,0.19047619047619047,32,10,8,34,81,9,3,19,62
0124.jpg,41,0.4390243902439024,0.5853658536585366,0.14634146341463414,24,17,6,35,106,6,3,16,90
0125.jpg,47,0.2765957446808511,0.5531914893617021,0.2765957446808511,26,21,13,34,101,11,6,22,79
0126.jpg,39,0.5641025641025641,0.8205128205128205,0.2564102564102564,32,7,10,29,95,6,4,24,71
0127.jpg,49,0.5918367346938775,0.8775510204081632,0.2857142857142857,43,6,14,35,89,9,2,24,65
0128.jpg,35,0.48571428571428577,0.7714285714285715,0.2857142857142857,27,8,10,25,105,14,2,24,81
0129.jpg,48,0.6666666666666666,0.75,0.08333333333333333,36,12,4,44,94,11,1,15,79
0130.jpg,30,0.5333333333333333,0.6,0.06666666666666667,18,12,2,28,99,7,7,11,88
0131.jpg,44,0.6590909090909092,0.8181818181818182,0.1590909090909091,36,8,7,37,114,10,4,10,104
0132.jpg,44,0.5681818181818181,0.6363636363636364,0.06818181818181818,28,16,3,41,92,10,6,3,89
0133.jpg,42,0.5238095238095237,0.7619047619047619,0.23809523809523808,32,10,10,32,110,6,6,24,86
0134.jpg,42,0.6904761904761905,0.8571428571428571,0.16666666666666666,36,6,7,35,90,12,2,14,76
0135.jpg,44,0.5227272727272727,0.6136363636363636,0.09090909090909091,27,17,4,40,91,4,6,18,73
0136.jpg,38,0.5789473684210527,0.7105263157894737,0.13157894736842105,27,11,5,33,88,6,0,12,76
0137.jpg,44,0.3181818181818182,0.5,0.18181818181818182,22,22,8,36,93,3,2,10,83
0138.jpg,27,0.48148148148148145,0.6666666666666666,0.18518518518518517,18,9,5,22,92,5,8,9,83
0139.jpg,37,0.3243243243243243,0.5675675675675675,0.24324324324324326,21,16,9,28,84,8,3,17,67
